Link,Year,Author,Journal,Title,Strategies,Frequency dependence,Payoffs,Penalties,Availability,Resources,Risks,Conditions,Access,Focus,Outcome
sci-hub.st/http://dx.doi.org/10.1006/jtbi.2000.2153,2000,"Beauchamp, G",Journal Of Theoretical Biology,Learning Rules For Social Foragers: Implications For The Producer-Scrounger Game And Ideal Free Distribution Theory,"Producers, scroungers",,,Movement cost. Scroungers would move to the nearest exploited patch at a speed of two locations per time step instead of one since they were not limited by concurrently searching for food,Patches were depletable,,,,,Learning rules for social foraging in the ideal free distribution and producer-scrounger dynamics,"Scrounging is less likely in populations with fewer foragers and in habitats with poorer patches. Maximizing led to early divergence in tactic use and extreme use of one or the other tactic. When individuals had early foraging success, they were likely to continue using the same strategy. This could be problematic in highly variable environments or in situations where environments change significantly where an alternative strategy would otherwise be favored."
sci-hub.st/http://dx.doi.org/10.1093/beheco/12.2.121,2001,"Barta, Z; Giraldeau, LA",Behavioral Ecology,Breeding Colonies As Information Centers: A Reappraisal Of Information-Based Hypotheses Using The Producer-Scrounger Game,"Producers, scroungers representing searcher and wait-and-follower",,,,,,,,,,
sci-hub.st/http://dx.doi.org/10.1093/beheco/14.1.2,2003,"Dubois, F; Giraldeau, LA; Grant, JWA",Behavioral Ecology,Resource Defense In A Group-Foraging Context,"Producers, scroungers representing searcher and wait-and-follower",,Resources for scrounger are what remains minus finder's share,Energetic costs of fighting,,,,,,Reconcile differences between optimality approach used to predict economic defendability of resources and game theoretic approach,"Aggression should always decrease as the density and richness of food clumps increases. The dove is never an ESS. Some animals share food clumps without any overt aggression, and this may be due to iterated play among familiar players"
https://sci-hub.st/10.1093/beheco/ari063,2005,"Ruxton, Graeme D. (g.ruxton@bio.gla.ac.uk) ; Fraser, Chris; Broom, Mark",Behavioral Ecology,An Evolutionarily Stable Joining Policy For Group Foragers,,,,,,,,"Under limited sensory range, foragers may have difficulty detecting conspecifics that could also join the patch and decrease their share",,Evolutionarily stable joining strategy,"There should be a critical joining distance within which all opportunities should be accepted and beyond which opportunities should be rejected. The joining distance should increase with decreasing density of other foragers, increasing speed of movement, increasing difficulty in finding undiscovered food patches and decreasing speed of which discovered patches can be consumed.  Discovered patches are more heavily exploited when patches are hard to find, patches can be searched for remaining food more quickly, forager density is low and foragers are relatively slow in traveling to discovered patches"
sci-hub.st/http://dx.doi.org/10.1890/04-0566,2005,"Dubois, FD; Giraldeau, LA",Ecology,Fighting For Resources: The Economics Of Defense And Appropriation,"Producers, scroungers playing hawks, doves",,,"Energetic cost of fight, mean contest duration, density of predators, risk of being killed by a predator during an escalated fight","Patch density, patch richness",,Predation hazard,,,"How changes in group size, clump density, patch richness and predation hazards affect both decision to appropriate and defend a resource and interact to predict effects on the frequency of aggression and aggressiveness of individuals","Producer challenged by a scrounger should always aggressively defend clumps whereas only a fraction of scroungers should attempt to aggressively appropriate a producer's food. This is due to the finders share that lets producers pay more for defense than a scrounger can for appropriation.   Increasing group size will increase the rate of playing scrounger and increase the costs of aggression. Few scroungers are expected at the equilibrium when the number of foragers is small.   Increasing patch density will reduce the time required for producers to find patches and the temporal costs associated with aggressive appropriation will make scrounger less profitable. Encounters will decline as the number of producers increases.   Increasing patch richness will increase the scrounger's share and the proportion of scroungers within the group. Scroungers are more likely to get required food to offset expenses of aggressive appropriation.   Costs of aggression increase with predation pressure as the increased probability of being killed by a predator while engaged in a fight increase. Aggression should reduce when predation hazard increases but non-aggressive scroungers will be unsuccessful securing food from aggressive producers. Otherwise, scroungers are likely to switch to producing, reducing the proportion of scroungers and decreasing the number of challenges but with lower numbers of scroungers, the aggressiveness increases."
sci-hub.st/http://dx.doi.org/10.1007/s00265-007-0461-8,2007,"Dubois, F; Giraldeau, LA",Behavioral Ecology And Sociobiology,Food Sharing Among Retaliators: Sequential Arrivals And Information Asymmetries,"Producers, scroungers, retaliators playing hawk, dove, retaliator. Given asymmetric information, scrounger simply copies finder's choice of hawk or dove, to determine if patch is worth fighting for (using inadvertent social information Danchin_2004",,,,Uncertainty about patch richness,,,,,Modify Hawk-Dove game to allow finder the opportunity of retaliating if the joiners escalate and considering the consequences of information asymmetries concerning resource value among players,"Retaliator strategy predicts widespread sharing in habitats where food clumps are of intermediate richness. When information asymmetry between finder and joiner is created, conditions for sharing are even more easily met and apply to a wider range of resource qualities. This model offers one of the most parsimonious and potentially general evolutionary accounts of the origin of non-aggressive resource sharing. Sharing should be more common when resource heterogeneity leads to increased joiner uncertainty."
sci-hub.st/http://dx.doi.org/10.1016/j.jtbi.2009.06.002,2009,"Ohtsuka, Y; Toquenaga, Y",Journal Of Theoretical Biology,The Patch Distributed Producer-Scrounger Game,"Producers, scroungers",,"Energy intake, finder's share",,,,,,,Relaxe the assumption that only one patch is discovered in each time unit and allows multiple patches to be found depending on the the producers' encounter rate with patches,The frequency of producers strongly depends on the patch encounter rate although it still depends on the producer's advantage and group size. The proportion of scroungers increases when resources are spatiotemporally clumped and decrease when resources are evenly distributed
sci-hub.st/http://dx.doi.org/10.1093/beheco/arq069,2010,"Mathot, KJ; Giraldeau, LA",Behavioral Ecology,Within-Group Relatedness Can Lead To Higher Levels Of Exploitation: A Model And Empirical Test,"Producers, scroungers",,,"Aggression from producers towards scroungers, different depending on kin and nonkin",,,,,Differential tolerance towards scrounging by kin and nonkin,Do producers allow kin to scrounge more frequently?,"Model predicts increased relatedness can lead to higher levels of exploitation when producers are kin-selected to be more tolerant of scrounging from relatives compared with non relatives, eg. being more aggressive towards nonkin. Empirical tests in this study with zebra finches had higher frequencies of scrounging and lower levels of aggressive interactions when finches were related compared to when finches were unrelated."
sci-hub.st/http://dx.doi.org/10.1098/rspb.2010.0857,2010,"Dubois, F; Morand-Ferron, J; Giraldeau, LA",Proceedings Of The Royal Society B-Biological Sciences,Learning In A Game Context: Strategy Choice By Some Keeps Learning From Evolving In Others,"Producers, scroungers",Payoffs are highly negatively frequency-dependent such that scrounger do better than producers when scroungers are rare and scroungers do worse than producers when scroungers are common. Number of foragers in group.,"Patch quality, finder's share",,,Changing environments,,,Patch encounter rate,Whether a learning mutant that can optimize its use of producer and scrounger to local conditions can invade a population of non-learning individuals that play producer and scrounger with fixed probabilities,"Learning provides an initial advantage but never evolves to fixation. At a stable equilibrium, the population is made up of a majority of fixed players and a minority of learning players."
sci-hub.st/http://dx.doi.org/10.1051/mmnp/20149309,2014,"Broom, M; Rychtar, J; Sykes, D",Mathematical Modelling Of Natural Phenomena,Kleptoparasitic Interactions Under Asymmetric Resource Valuation,"Producers, scroungers",,Value of resources,Conflict cost,,,,Seasonal scarcity of resources leading to stealing when food is rare but not when food is common,"1 Scrounger does not attempt to steal, 2 scroungers attempts to steal and producer defends, 3 scrounger attempts to steal and producer does not defend",Model stealing interactions under asymmetric food valuation,"Differences between individuals in resource holding potential  affects their changes of winning a conflict and how much they value a particular resource. Strong effect of the relationship between resource holding potential and the value of resources on how much aggressive behaviour occurs in the population. This results in fights occurring mainly between strong individuals or between weak individuals. For example, if a weak individual is struggling to survive, it will attribute high value to the resource and fight where a strong individual will not defend."
sci-hub.st/http://dx.doi.org/10.1098/rspb.2014.1072,2014,"Kane, A; Jackson, AL; Ogada, DL; Monadjem, A; McNally, L",Proceedings Of The Royal Society B-Biological Sciences,Vultures Acquire Information On Carcass Location From Scavenging Eagles,"Producers, scroungers",,,,,,,,,Determine if there are interspecific producer scrounger dynamics between eagles and vultures.,Social information transfer can occur across species and ecosystem-based management is critical considering vulture populations suffering global declines
sci-hub.st/http://dx.doi.org/10.1007/s00285-014-0848-x,2015,"Broom, M; Johanis, M; Rychtar, J",Journal Of Mathematical Biology,The Effect Of Fight Cost Structure On Fighting Behaviour,"Producers, scroungers",,,"Individual choose to invest an amount of energy into contests and level of investment of each individual determines probability it will win contest, and additional cost it has to bear. Cost function either convex or concave",,,"Risk of injury or lost energy for convex cost functions, predation risk for concave cost functions",,,"Extend previous models that consider a discrete set of options for gaining resources eg. steal or not, or play hawk or dove in a contest, to consider a continuous measure of effort invested following a particular cost function.","For high levels of maximum investment, the producer keeps the resource without a fight for concave cost functions but for convex functions the scrounger obtains the resource at some cost."
https://sci-hub.st/https://www.sciencedirect.com/science/article/abs/pii/S1476945X15000446,2016,"Broom, M., Rychtář, J.",Ecological Complexity,A Model Of Food Stealing With Asymmetric Information,"Producers, scroungers",,"Information about food patch, finder's share","Energetic cost of contest, probability that producer will win contest",,,,,,Consider a producer scrounger game where the producer knows the value of the remaining food patch but the scrounger does not,"The extra information held by the producer can be both beneficial and harmful. Examples where information is not available to scrounger include resources not immediately visible eg. concealed nests, or where contest occurs quickly after the patch is discovered, not allowing sufficient time for producer to evaluate the patch.   Where costs of contests are high, or if joiner only has a small chance of winning the contest eg if the patch is easily defended, the producer should play hawk and the scrounger should play dove leaving the producer with the resource without contest.   When the scrounger's potential cost is small compared to the value of the food or if the scrounger's change of winning is high, the scrounger will always fight."
sci-hub.st/http://dx.doi.org/10.1098/rspb.2015.2550,2016,"Lee, AEG; Ounsley, JP; Coulson, T; Rowcliffe, JM; Cowlishaw, G",Proceedings Of The Royal Society B-Biological Sciences,Information Use And Resource Competition: An Integrative Framework,"Producers, scroungers",,Finder's share,,Individuals can search for resources alone or by using social information,"Depletion rate, distribution",,,"Monopolizability, social rank","Developed a model to demonstrate how competition can facilitate or constrain an individual's ability to use information when acquiring resources, considering resource distribution","Increasing the producer's resource discovery rate reduced the relative cost of solitary foraging. If patches were easy to find and individuals were unable to monopolize resources, scrounging became less common. Under conditions of strong monopolization and intermediate discovery rates, higher levels of scrounging occurred.   Two main predictions: 1 The effects of resource scarcity on social information use should depend on resource monopolizability. 2 The potential benefits of social dominance should be closely linked to social information use in uncertain environments.   There are constrains that competition imposes on an individual's ability to use social information to access resources. When resources are monopolizable, social information use may become exclusive to dominant individuals leading to a positive relationship between social rank and resource acquisition rate.    Selection pressures on dominance will depend on multidimensional aspects of resources eg. scarcity, depletion rate and monopolizability"
sci-hub.st/http://dx.doi.org/10.1098/rsos.160830,2017,"Toyokawa, W",Royal Society Open Science,Scrounging By Foragers Can Resolve The Paradox Of Enrichment,"Producers, scroungers",,,,,,,,,Predator population in which individuals play a producer scrounger game to analyse the stability of a coexisting equilibrium point in one prey system and non equilibrium dynamics in two prey system.,Social foraging can stabilize both one prey and two prey systems and resolve the paradox of enrichment when scrounging is prevalent in predators. Scrounging can lower the growth rate of a population allowing the prey resource to persist at higher densities than if scrounging was absent.
sci-hub.st/http://dx.doi.org/10.1007/s00285-017-1149-y,2018,"Broom, M; Johanis, M; Rychtar, J",Journal Of Mathematical Biology,The Effect Of Fight Cost Structure On Fighting Behaviour Involving Simultaneous Decisions And Variable Investment Levels,"Producers, scroungers",,Resource value,"The larger the investment effort, the larger the change of winning the resource but allso the larger the cost",,,,,,"Continuing from Broom_2016, consider now that the decision to invest are made simultaneously instead of sequentially first with the scrounger and second with the producer's response",Some different results from Broom_2016 due to simultaneous play
sci-hub.st/http://dx.doi.org/10.1002/ece3.6111,2020,"Vickery, WL",Ecology And Evolution,Producing And Scrounging Can Have Stabilizing Effects At Multiple Levels Of Organization,"Producers and scroungers, scrounging only occurs in the top predator. When scrounging is introduced in intermediate predator population, the dynamics in the top predator are not stabilized due to a lack of negative feedback on prey consumption.",Predator density,"Resources, finder's share",Mortality rate of predators,,Resources with an intrinsic rate of growth,,,Encounter rate between predators and prey,"Behaviour at the individual level having effects on populations, food chains and community structure","The addition of scrounging in consumer populations can allow multiple consumers to coexist while exploiting a single prey. Scrounging in the top predator of a tritrophic food chain can stabilize interactions between the top predator, its prey and its prey's prey. Presence of scroungers reduces the total amount of resource acquired by the group. Scrounging limits group size, impact on prey and ability of a predator to outcompete other species, promoting stability and species diversity.   Higher growth rates of the resource require high scrounging frequencies to prevent instability on the system. Low growth rates allow coexistence only when the finder's advantage is high and scrounging frequency is low. If encounter rate is high, scrounging will be rare.    Scrounging will not stabilize population dynamics, food chains and competitor interactions under all cases. If scrounging is too prevalent, it can push the population to extinction. Other factors such as food abundance, variations in weather, predators and parasites may have stronger effects that can completely obscure the effects of scrounging."
sci-hub.st/http://dx.doi.org/10.1002/ece3.6201,2020,"Dubois, F; Richard-Dionne, E",Ecology And Evolution,Consequences Of Multiple Simultaneous Opportunities To Exploit Others' Efforts On Free Riding,"Producers and scroungers, scrounging only occurs in the top predator. When scrounging is introduced in intermediate predator population, the dynamics in the top predator are not stabilized due to a lack of negative feedback on prey consumption.",,"Resource, finder's share",,,,Predation,,,What is the effect of multiple simultaneous opportunities to scrounge on tactic use,"Rate of scrounging should increase with the number of simultaneous opportunities. When food is clumped into few rich patches rather than dispersed into many poor patches, the number of scroungers should increase. When risk of predation is lower, producing is favoured. When the probability of finding patches decreases with increasing forager density, larger groups should have more scroungers. When the probability of finding patches increases with increasing forager density, larger groups should have less scroungers."
