Link,Year,Author,Journal,Title,Species,Scientific name,Strategies,Frequency dependence,Payoffs,Penalties,Resources,Availability,Risks,Conditions,Access,Focus,Outcome
,2003,"Coolen, I; Giraldeau, LA",Animal Behaviour,"Incompatibility Between Antipredatory Vigilance And Scrounger Tactic In Nutmeg Mannikins, Lonchura Punctulata",nutmeg mannikins,,,,,,,,,,,,
,2003,"Hamilton, IM; Dill, LM",Ecology,Group Foraging By A Kleptoparasitic Fish: A Strong Inference Test Of Social Foraging Models,western buffalo breams,,,,,,,,,,,,
,2004,"Barta, Z; Liker, A; Monus, F",Animal Behaviour,The Effects Of Predation Risk On The Use Of Social Foraging Tactics,tree sparrows,,,,,,,,,,,,
,2004,"Lendvai, AZ; Barta, Z; Liker, A; Bokony, V",Proceedings Of The Royal Society B-Biological Sciences,The Effect Of Energy Reserves On Social Foraging: Hungry Sparrows Scrounge More,house sparrows,Passer domesticus,,,,,,,,,,,
sci-hub.st/http://dx.doi.org/10.1007/s10764-005-8855-9,2005,"Bicca-Marques, JC; Garber, PA",International Journal Of Primatology,Use Of Social And Ecological Information In Tamarin Foraging Decisions,emperor and saddlleback tamarins,,,,,,,,,,,,
,2005,"Wu, GM; Giraldeau, LA",Behavioral Ecology,Risky Decisions: A Test Of Risk Sensitivity In Socially Foraging Flocks Of Lonchura Punctulata,nutmeg mannikins,,,,,,,,,,,,
sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2005.10.032,2006,"Lendvai, AZ; Liker, A; Barta, Z",Animal Behaviour,The Effects Of Energy Reserves And Dominance On The Use Of Social-Foraging Strategies In The House Sparrow,house sparrows,Passer domesticus,,,,,,,,Experimental wind exposure to manipulate overnight energy expenditure of dominant and subordinate individuals,,Mutual effects of social dominance and level of energy reserves on the use of social foraging strategies,"In response to experimental treatment of wind exposure, dominants used scrounging more frequently while subordinates only had a moderate increase in scrounging"
,2006,"Barrette, M; Giraldeau, LA",Animal Behaviour,Prey Crypticity Reduces The Proportion Of Group Members Searching For Food,nutmeg mannikins,,,,,,,,,,,,
,2006,"Beauchamp, G",Ethology,Phenotypic Correlates Of Scrounging Behavior In Zebra Finches: Role Of Foraging Efficiency And Dominance,zebra finches,Taeniopygia guttata,,,,,,,,,,,
,2007,"Morand-Ferron, J; Giraldeau, LA; Lefebvre, L",Behavioral Ecology,Wild Carib Grackles Play A Producer-Scrounger Game,Carib grackles,,,,,,,,,,,,
,2007,"McCormack, JE; Jablonski, PG; Brown, JL",Behaviour,Producer-Scrounger Roles And Joining Based On Dominance In A Free-Living Group Of Mexican Jays (Aphelocoma Ultramarina),Mexican jays,,,,,,,,,,,,
,2008,"Katsnelson, E; Motro, U; Feldman, MW; Lotem, A",Animal Behaviour,Early Experience Affects Producer-Scrounger Foraging Tendencies In The House Sparrow,house sparrows,Passer domesticus,,,,,,,,,,,
,2008,"Mathot, KJ; Giraldeau, LA",Behavioral Ecology,Increasing Vulnerability To Predation Increases Preference For The Scrounger Foraging Tactic,zebra finches,Taeniopygia guttata,,,,,,,,,,,
,2008,"Monus, F; Barta, Z",Ethology,The Effect Of Within-Flock Spatial Position On The Use Of Social Foraging Tactics In Free-Living Tree Sparrows,tree sparrows,,,,,,,,,,,,
,2008,"Auster, PJ",Journal Of The Marine Biological Association Of The United Kingdom,Variation In Search And Predatory Attack Strategies Of Shark Mackerel Grammatorcynus Bicarinatus,shark mackerel,,,,,,,,,,,,
,2009,"Dyer, John R. G. (bgyjdd@leeds.ac.uk) ; Croft, Darren P.; Morrell, Lesley J.; Krause, Jens",Behavioral Ecology,Shoal Composition Determines Foraging Success In The Guppy,guppies,,,,,,,,,,,,
,2009,"King, AJ; Isaac, NJB; Cowlishaw, G",Behavioral Ecology,"Ecological, Social, And Reproductive Factors Shape Producer-Scrounger Dynamics In Baboons",chacma baboons,,,,,,,,,,,,
,2009,"Mathot, KJ; Godde, S; Careau, V; Thomas, DW; Giraldeau, LA",Oikos,Testing Dynamic Variance-Sensitive Foraging Using Individual Differences In Basal Metabolic Rates Of Zebra Finches,zebra finches,Taeniopygia guttata,,,,,,,,,,,
,2010,"Morand-Ferron, J; Giraldeau, LA",Behavioral Ecology,Learning Behaviorally Stable Solutions To Producer-Scrounger Games,nutmeg mannikins,,,,,,,,,,,,
,2010,"Mathot, KJ; Giraldeau, LA",Behavioral Ecology,Within-Group Relatedness Can Lead To Higher Levels Of Exploitation: A Model And Empirical Test,zebra finches,Taeniopygia guttata,"Producers, scroungers",,,Aggression,,,,,Differential tolerance towards scrounging by kin and nonkin,Do producers allow kin to scrounge more frequently?,"Model predicts increased relatedness can lead to higher levels of exploitation when producers are kin-selected to be more tolerant of scrounging from relatives compared with non relatives, eg. being more aggressive towards nonkin. Empirical tests in this study with zebra finches had higher frequencies of scrounging and lower levels of aggressive interactions when finches were related compared to when finches were unrelated."
,2010,"Mathot, KJ; Giraldeau, LA",Behavioral Ecology And Sociobiology,Family-Related Differences In Social Foraging Tactic Use In The Zebra Finch (Taeniopygia Guttata),zebra finches,,,,,,,,,,,,
,2010,"Kurvers, RHJM; Prins, HHT; van Wieren, SE; van Oers, K; Nolet, BA; Ydenberg, RC",Proceedings Of The Royal Society B-Biological Sciences,The Effect Of Personality On Social Foraging: Shy Barnacle Geese Scrounge More,barnacle geese,,,,,,,,,,,,
,2011,"David, M; Cezilly, F; Giraldeau, LA",Animal Behaviour,Personality Affects Zebra Finch Feeding Success In A Producer-Scrounger Game,zebra finches,,,,,,,,,,,,
,2011,"Morand-Ferron, J; Wu, GM; Giraldeau, LA",Animal Behaviour,Persistent Individual Differences In Tactic Use In A Producer-Scrounger Game Are Group Dependent,nutmeg mannikins,,,,,,,,,,,,
,2011,"Katsnelson, E; Motro, U; Feldman, MW; Lotem, A",Proceedings Of The Royal Society B-Biological Sciences,Individual-Learning Ability Predicts Social-Foraging Strategy In House Sparrows,house sparrows,Passer domesticus,,,,,,,,,,,
,2011,"Morand-Ferron, J; Varennes, E; Giraldeau, LA",Proceedings Of The Royal Society B-Biological Sciences,Individual Differences In Plasticity And Sampling When Playing Behavioural Games,nutmeg mannikins,,,,,,,,,,,,
,2012,"Kurvers, RHJM; de Hoog, SIV; van Wieren, SE; Ydenberg, RC; Prins, HHT",Behavioral Ecology,No Evidence For Negative Frequency-Dependent Feeding Performance In Relation To Personality,barnacle geese,,,,,,,,,,,,
,2012,"David, M; Giraldeau, LA",Behavioral Ecology,Zebra Finches In Poor Condition Produce More And Consume More Food In A Producer-Scrounger Game,zebra finches,Taeniopygia guttata,,,,,,,,,,,
,2012,"Belmaker, A; Motro, U; Feldman, MW; Lotem, A",Ethology,Learning To Choose Among Social Foraging Strategies In Adult House Sparrows (Passer Domesticus),house sparrows,Passer domesticus,,,,,,,,,,,
,2013,"Jolles, JW; Ostojic, L; Clayton, NS",Animal Behaviour,"Dominance, Pair Bonds And Boldness Determine Social-Foraging Tactics In Rooks, Corvus Frugilegus",rooks,,,,,,,,,,,,
,2013,"Carter, AJ; Marshall, HH; Heinsohn, R; Cowlishaw, G",Animal Behaviour,Personality Predicts Decision Making Only When Information Is Unreliable,chacma baboons,,,,,,,,,,,,
,2013,"Ilan, T; Katsnelson, E; Motro, U; Feldman, MW; Lotem, A",Behavioral Ecology,The Role Of Beginner'S Luck In Learning To Prefer Risky Patches By Socially Foraging House Sparrows,house sparrows,,,,,,,,,,,,
,2014,"Olafsdottir, GA; Andreou, A; Magellan, K; Kristjansson, BK",Biological Journal Of The Linnean Society,"Divergence In Social Foraging Among Morphs Of The Three-Spined Stickleback, Gasterosteus Aculeatus",three-spined sticklebacks,Gasterosteus aculeatus,,,,,,,,,,,
,2014,"David, M; Le Ho, M; Laskowski, KL; Salignon, M; Gillingham, MAF; Giraldeau, LA",Frontiers In Ecology And Evolution,Individual Differences In Behavioral Consistency Are Related To Sequential Access To Resources And Body Condition In A Producer-Scrounger Game,zebra finches,Taeniopygia guttata,,,,,,,,,,,
,2014,"Kane, A; Jackson, AL; Ogada, DL; Monadjem, A; McNally, L",Proceedings Of The Royal Society B-Biological Sciences,Vultures Acquire Information On Carcass Location From Scavenging Eagles,"vultures, raptors",,,,,,,,,,,,
https://sci-hub.st/https://www.sciencedirect.com/science/article/pii/S0003347215001566?casa_token=aKkOskO6OosAAAAA:GkDNdOa8nCmVBdoWGt9bJD9sLWtiK_EhbCSwC-RIuuIbeayuuBc_x4I79U9fgxILUCEEY9LNze9w,2015,"Afshar, M; Hall, CL; Giraldeau, LA",Animal Behaviour,Zebra Finches Scrounge More When Patches Vary In Quality: Experimental Support Of The Linear Operator Learning Rule,zebra finches,Taeniopygia guttata,,,,,,,,,,"Testing the linear operator learning rule described in Afshar_2014 to determine if increasingg the degree of variance in patch quality, while keeping its mean constant, will affect the frequency of scrounging","As individuals have more experience in the variable environment, they increase their scrounging behaviours. Scrounging is a variance-averse strategy and is less sensitive to changes in patch quality variance than average patch quality. Learning rule models are better tools, to handle complex situations and in their simplicity, to study and predict animal behaviour in frequency-dependent systems than the evolutionarily stable strategy approach. Agent based models using learning rules can incorporate multiple ecological parameters to describe environments more realistically."
,2015,"Keynan, O; Ridley, AR; Lotem, A",Behavioral Ecology,Social Foraging Strategies And Acquisition Of Novel Foraging Skills In Cooperatively Breeding Arabian Babblers,Arabian babblers,,,,,,,,,,,,
,2015,"Bijleveld, AI; van Gils, JA; Jouta, J; Piersma, T",Behavioural Processes,Benefits Of Foraging In Small Groups: An Experimental Study On Public Information Use In Red Knots Calidris Canutus,red knots,,,,,,,,,,,,
,2015,"Teichroeb, JA; White, MMJ; Chapman, CA",International Journal Of Primatology,Vervet (Chlorocebus Pygerythrus) Intragroup Spatial Positioning: Dominants Trade-Off Predation Risk For Increased Food Acquisition,vervet monkeys,Chlorocebus pygerythrus,,,,,Artificial food patches of varied richness,,,,,Spatial position within a foraging group. Tradeoff between maximizing safety by staying in group's center with foraging success,"High ranking individuals, whether they scrounged or produced, obtained more food than subordinates but their overall share was greatest when they produced, balancing their trade off of predation risk with food acquisition. No effect of age. Finder's share decreased with patch richness and increased with rank."
,2016,"Katz, K; Naug, D",Animal Behaviour,Dancers And Followers In A Honeybee Colony Differently Prioritize Individual And Colony Nutritional Needs,honeybees,,,,,,,,,,,,
,2016,"Hansen, M.J., Ward, A.J.W., Fürtbauer, I., King, A.J.",Behavioral Ecology And Sociobiology,Environmental Quality Determines Finder-Joiner Dynamics In Socially Foraging Three-Spined Sticklebacks (Gasterosteus Aculeatus),three-spined sticklebacks,Gasterosteus aculeatus,,,,,,,,,,Social foraging dynamics of three-spined sticklebacks to determine if fish tend to use private information or rely on social information.,"Fish's allocation to alternative foraging tactics can be explained by environmental quality. In larger patch sizes fish have a reduced finder's share and tend to scrounge more often. In smaller patch sizes fish rely on private information, solitary foraging. Payoffs were higher for fish that produced in all environmental conditions, likely due in part to consistent interindividual differences in foraging efficiency and body size"
,2016,"Dumke, M; Herberstein, ME; Schneider, JM",Proceedings Of The Royal Society B-Biological Sciences,Producers And Scroungers: Feeding-Type Composition Changes With Group Size In A Socially Foraging Spider,crab spiders,,,,,,,,,,,,
sci-hub.st/http://dx.doi.org/10.1186/s12983-016-0180-y,2016,"Lee, YF; Kuo, YM; Chu, WC",Frontiers In Zoology,Energy State Affects Exploratory Behavior Of Tree Sparrows In A Group Context Under Differential Food-Patch Distributions,tree sparrows,,,,,,,,,,,Tested that energy states will affect exploratory behaviour using tree sparrows in fasted and fed states exploring a novel space with hidden food in different patch distribution patterns.,Sparrows in fed and fasted states did not differ in feeding rates in either patch pattern. Fasted sparrows risked being more exploratory and stayed longer on the ground. Fasted sparrows discovered more patches and consumed more food than fed sparrows in dispersed patch patterns. Fed birds increased patch finding to a plateau in dispersed patch patterns.
,2017,"Riddell, J; Webster, MM",Ethology,How Does Hunger Affect Convergence On Prey Patches In A Social Forager?,three-spined sticklebacks,,,,,,,,,,,,
,2017,"Benhaim, D; Ferrari, S; Colchen, T; Chatain, B; Begout, ML",Learning & Behavior,Relationship Between Individual And Group Learning In A Marine Teleost: A Case Study With Sea Bass Under Self-Feeding Conditions,sea bass,,,,,,,,,,,,
,2017,"Lee, AEG; Cowlishaw, G",Peerj,Switching Spatial Scale Reveals Dominance-Dependent Social Foraging Tactics In A Wild Primate,chacma baboons,,,,,,,,,,,,
https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2016.2872,2017,"Aplin, LM; Morand-Ferron, J",Proceedings Of The Royal Society B-Biological Sciences,Stable Producer-Scrounger Dynamics In Wild Birds: Sociability And Learning Speed Covary With Scrounging Behaviour,great tits,Parus major,,Found a positive relationship between subpopulation size and frequency of scrounging,,,,"Automated foraging task, no change in availability",,,,"Personality trait of ""exploration behaviour in a novel environment"". Five individual level variables were considered as potential predictors of producer scrounger tactics: age, sex, exploratory personality, time of first contact and latency to learn after first contact","Stable dimorphic distribution of producer scrounger tactics in a wild population. Individual specialization on producing and scrounging. Females and adults were more likely to scrounge than males and juveniles. Tolerance in males for female scroungers may be related mating pairs, and dominance of males giving a tendency to produce. Individuals that arrived earlier and learned the task faster were less likely to scrounge.  Scroungers had higher network centrality and larger average group sizes. Individuals tended to be repeatable in their proportion of scrounging."
sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2017.09.023,2017,"Kok, RB; Stears, K; Shrader, AM",Animal Behaviour,Does The Removal Of Finder'S Share Influence The Scrounging Decisions Of Herbivores?,veld goats,,,,,,,,,,,"What is the relationship between food availability, feeding time and finder's share? Do scrounging herbivores use the finder's share obtained by a producer as a cue for making patch joining decisions? How does the influence of finder's share on patch joining decisions vary with food availability in a patch?","At low and intermediate food availability, scrounging goats avoided the finder's share patch once the producer had fed for >= 30s. At the highest food availability, scrounging goats joined the producer up to 120s. Food availability and finder's share are both considered by animals making scrounging decisions but finder's share is less important in patches with more food."
,2018,"Dumke, M; Herberstein, ME; Schneider, JM",Ethology,Advantages Of Social Foraging In Crab Spiders: Groups Capture More And Larger Prey Despite The Absence Of A Web,crab spiders,,,,,,,,,,,,
,2018,"Harten, L; Matalon, Y; Galli, N; Navon, H; Dor, R; Yovel, Y",Science Advances,Persistent Producer-Scrounger Relationships In Bats,Egyptian fruit bats,,,,,,,,,,,,
,2018,"Phillips, JA; Peacock, SJ; Bateman, A; Bartlett, M; Lewis, MA; Krkosek, M",Theoretical Ecology,An Asymmetric Producer-Scrounger Game: Body Size And The Social Foraging Behavior Of Coho Salmon,coho salmon,,,,,,,,,,,,
,2019,"Fulop, A; Nemeth, Z; Kocsis, B; Deak-Molnar, B; Bozsoky, T; Barta, Z",Behavioral Ecology,Personality And Social Foraging Tactic Use In Free-Living Eurasian Tree Sparrows (Passer Montanus),Eurasian tree sparrows,,,,,,,,,,,,
,2019,"Harten, L; Prat, Y; Ben Cohen, S; Dor, R; Yovel, Y",Current Biology,Food For Sex In Bats Revealed As Producer Males Reproduce With Scrounging Females,Egyptian fruit bats,,,,,,,,,,,,
,2020,"Dagues, MB; Hall, CL; Giraldeau, LA",Animal Behaviour,Individual Differences In Learning Ability Are Negatively Linked To Behavioural Plasticity In A Frequency-Dependent Game,Bengalese finches,,,,,,,,,,,,
,2020,"Hirsch, BT; Malpass, E; Di Blanco, YE",Behavioral Ecology,Interindividual Spacing Affects The Finder'S Share In Ring-Tailed Coatis (Nasua Nasua),ring-tailed coatis,,,,,,,,,,,,
,2020,"Barou-Dagues, M; Richard-Dionne, E; Dubois, F",Behavioral Ecology And Sociobiology,Do Female Zebra Finches Prefer Males Exhibiting Greater Plasticity In Foraging Tactic Use?,zebra finches,Taeniopygia guttata,,,,,,,,,,,
,2021,"Evans, AW; Williams, DM; Blumstein, DT",Animal Behaviour,Producer-Scrounger Relationships In Yellow-Bellied Marmots,yellow-bellied marmots,,,,,,,,,,,,
,2021,"Li, MF; Arseneau-Robar, TJM; Smeltzer, EA; Teichroeb, JA",Animal Behaviour,"Be Early Or Be Tolerated: Vervet Monkey, Chlorocebus Pygerythrus, Foraging Strategies In A Dispersed Resource",vervet monkeys,,,,,,,,,,,,
,2021,"Alfaro, L; Cabrera, R",Behavioural Processes,Effect Of Group Size On Producer-Scrounger Strategies Of Wistar Rats,Wistar rats,Rattus norvegicus,,,,,,,,,,Distribution of search responses relative to the size of the group,Small groups had a larger proportion of producers than large groups and required less time to deplete food.
,2021,"Reichert, MS; Morand-Ferron, J; Kulahci, IG; Firth, JA; Davidson, GL; Crofts, SJ; Quinn, JL",Journal Of Animal Ecology,Cognition And Covariance In The Producer-Scrounger Game,"great tits, blue tits",Parus major,,,,,,,,,,,
sci-hub.st/http://dx.doi.org/10.1016/j.beproc.2021.104488,2021,"Alfaro, L; Cabrera, R",Behavioural Processes,Can The Setup Of A Patch Modulate Finder' Advantage?,Wistar rats,Rattus norvegicus,,,,,,,,,,,
,2022,"Sacramento, TS; Bicca-Marques, JC",Animal Behaviour,Scrounging Marmosets Eat More When The Finder'S Share Is Low Without Changing Their Searching Effort,black-tufted marmosets,,,,,,,,,,,,
