comments,risk,conditions,habitat,simulation,empirical,ps_model,other_model,review,link,DL,PY,AU,SO...14,SO...15,DOI
patch departure,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/10.1.54,http://dx.doi.org/10.1093/beheco/10.1.54,1999,"Smith, JW; Benkman, CW; Coffey, K",Behavioral Ecology,The Use And Misuse Of Public Information By Foraging Red Crossbills,10.1093/beheco/10.1.54
,,,,,,n,,,https://sci-hub.st/https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1095-8649.1999.tb02056.x,http://dx.doi.org/10.1006/jfbi.1999.0958,1999,"De Pirro, M; Marchetti, GM; Chelazzi, G",Journal Of Fish Biology,Foraging Interactions Among Three Benthic Fish In A Posidonia Oceanica Reef Lagoon Along The Tyrrhenian Coast,10.1006/jfbi.1999.0958
,,,,,,,,y,sci-hub.st/http://dx.doi.org/10.1016/S0169-5347(98)01542-0,http://dx.doi.org/10.1016/S0169-5347(98)01542-0,1999,"Giraldeau, LA; Beauchamp, G",Trends In Ecology & Evolution,Food Exploitation: Searching For The Optimal Joining Policy,10.1016/S0169-5347(98)01542-0
,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1086/303342,http://dx.doi.org/10.1086/303342,2000,"Barta, Z; Giraldeau, LA",American Naturalist,Daily Patterns Of Optimal Producer And Scrounger Use Under Predation Hazard: A State-Dependent Dynamic Game Analysis,10.1086/303342
,,,,,,,recruiter joiner / skew,,sci-hub.st/http://dx.doi.org/10.1086/303349,http://dx.doi.org/10.1086/303349,2000,"Hamilton, IM",American Naturalist,Recruiters And Joiners: Using Optimal Skew Theory To Predict Group Size And The Division Of Resources Within Groups Of Social Foragers,10.1086/303349
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.1999.1322,http://dx.doi.org/10.1006/anbe.1999.1322,2000,"Held, S; Mendl, M; Devereux, C; Byrne, RW",Animal Behaviour,Social Tactics Of Pigs In A Competitive Foraging Task: The 'Informed Forager' Paradigm,10.1006/anbe.1999.1322
,,,,,,n,fast slow,,sci-hub.st/http://dx.doi.org/10.1006/anbe.2000.1443,http://dx.doi.org/10.1006/anbe.2000.1443,2000,"Marchetti, C; Drent, PJ",Animal Behaviour,Individual Differences In The Use Of Social Information In Foraging By Captive Great Tits,10.1006/anbe.2000.1443
,,,,,spice finches,,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.2000.1474,http://dx.doi.org/10.1006/anbe.2000.1474,2000,"Mottley, K; Giraldeau, LA",Animal Behaviour,Experimental Evidence That Group Foragers Can Converge On Predicted Producer-Scrounger Equilibria,10.1006/anbe.2000.1474
,,,,,zebra finches,,,,sci-hub.st/http://dx.doi.org/10.1016/S0376-6357(00)00132-7,http://dx.doi.org/10.1016/S0376-6357(00)00132-7,2000,"Beauchamp, G",Behavioural Processes,"The Effect Of Prior Residence And Pair Bond On Scrounging Choices In Flocks Of Zebra Finches, Taenopygia Guttata",10.1016/S0376-6357(00)00132-7
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1007/BF02462242,http://dx.doi.org/10.1007/BF02462242,2000,"Amat, JA",Journal Fur Ornithologie,"Courtship Feeding, Food Sharing, Or Tolerated Food Theft Among Paired Red-Crested Pochards (Netta Rufina)?",10.1007/BF02462242
learning,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1006/jtbi.2000.2153,http://dx.doi.org/10.1006/jtbi.2000.2153,2000,"Beauchamp, G",Journal Of Theoretical Biology,Learning Rules For Social Foragers: Implications For The Producer-Scrounger Game And Ideal Free Distribution Theory,10.1006/jtbi.2000.2153
,,,,,spice finches,,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.2000.1678,http://dx.doi.org/10.1006/anbe.2000.1678,2001,"Coolen, I; Giraldeau, LA; Lavoie, M",Animal Behaviour,Head Position As An Indicator Of Producer And Scrounger Tactics In A Ground-Feeding Bird,10.1006/anbe.2000.1678
,,,,,capuchin monkeys,,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.2000.1730,http://dx.doi.org/10.1006/anbe.2000.1730,2001,"Di Bitetti, MS; Janson, CH",Animal Behaviour,"Social Foraging And The Finder'S Share In Capuchin Monkeys, Cebus Apella",10.1006/anbe.2000.1730
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.2001.1704,http://dx.doi.org/10.1006/anbe.2001.1704,2001,"Smith, RD; Ruxton, GD; Cresswell, W",Animal Behaviour,Patch Choice Decisions Of Wild Blackbirds: The Role Of Preharvest Public Information,10.1006/anbe.2001.1704
"vigilance, group size, conditions",,y,,,northwestern crows,,,,https://sci-hub.st/10.1006/anbe.2001.1772,,2001,"Robinette, R.L., Ha, J.C.",Animal Behaviour,"Social And Ecological Factors Influencing Vigilance By Northwestern Crows, Corvus Caurinus",10.1006/anbe.2001.1772
,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/12.2.121,http://dx.doi.org/10.1093/beheco/12.2.121,2001,"Barta, Z; Giraldeau, LA",Behavioral Ecology,Breeding Colonies As Information Centers: A Reappraisal Of Information-Based Hypotheses Using The Producer-Scrounger Game,10.1093/beheco/12.2.121
,y,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1007/s002650100413,http://dx.doi.org/10.1007/s002650100413,2001,"Beauchamp, G",Behavioral Ecology And Sociobiology,Should Vigilance Always Decrease With Group Size?,10.1007/s002650100413
,,,,,zebra finches,,,,sci-hub.st/http://dx.doi.org/10.1139/cjz-79-3-540,http://dx.doi.org/10.1139/cjz-79-3-540,2001,"Beauchamp, G",Canadian Journal Of Zoology-Revue Canadienne De Zoologie,Consistency And Flexibility In The Scrounging Behaviour Of Zebra Finches,10.1139/cjz-79-3-540
,,,,,spice finches,,,,sci-hub.st/http://dx.doi.org/10.1046/j.1439-0310.2001.00657.x,http://dx.doi.org/10.1046/j.1439-0310.2001.00657.x,2001,"Flynn, RE; Giraldeau, LA",Ethology,Producer-Scrounger Games In A Spatially Explicit World: Tactic Use Influences Flock Geometry Of Spice Finches,10.1046/j.1439-0310.2001.00657.x
,,,,,guppies,,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.2001.1949,http://dx.doi.org/10.1006/anbe.2001.1949,2002,"Pfeffer, K; Fritz, J; Kotrschal, K",Animal Behaviour,"Hormonal Correlates Of Being An Innovative Greylag Goose, - Anser Anser",10.1006/anbe.2001.1949
,,,,,domestic pigs,,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.2002.3044,http://dx.doi.org/10.1006/anbe.2002.3044,2002,"Held, S; Mendl, M; Devereux, C; Byrne, RW",Animal Behaviour,Foraging Pigs Alter Their Behaviour In Response To Exploitation,10.1006/anbe.2002.3044
,,,,,marmosets,,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.2002.9001,http://dx.doi.org/10.1006/anbe.2002.9001,2002,"Werdenich, D; Huber, L",Animal Behaviour,Social Factors Determine Cooperation In Marmosets,10.1006/anbe.2002.9001
,,,,,,,kleptoparasitism,,sci-hub.st/http://dx.doi.org/10.1093/beheco/13.2.260,http://dx.doi.org/10.1093/beheco/13.2.260,2002,"Hamilton, IM",Behavioral Ecology,Kleptoparasitism And The Distribution Of Unequal Competitors,10.1093/beheco/13.2.260
,,,,,,,sharing/harassment,,sci-hub.st/http://dx.doi.org/10.1093/beheco/13.3.393,http://dx.doi.org/10.1093/beheco/13.3.393,2002,"Stevens, JR; Stephens, DW",Behavioral Ecology,Food Sharing: A Model Of Manipulation By Harassment,10.1093/beheco/13.3.393
,,,,,nutmeg mannikins,,,,sci-hub.st/http://dx.doi.org/10.1007/s00265-002-0500-4,http://dx.doi.org/10.1007/s00265-002-0500-4,2002,"Coolen, I",Behavioral Ecology And Sociobiology,Increasing Foraging Group Size Increases Scrounger Use And Reduces Searching Efficiency In Nutmeg Mannikins (Lonchura Punctulata),10.1007/s00265-002-0500-4
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1163/15685390260136708,http://dx.doi.org/10.1163/15685390260136708,2002,"Gonzaga, MD; Vasconcellos-Neto, J",Behaviour,Collective Prey Capture And Feeding Behaviours Of Anelosimus Jabaquara Levi 1956 (Araneae : Theridiidae),10.1163/15685390260136708
dominance,,,,,house sparrows,,,,sci-hub.st/http://dx.doi.org/10.1163/15685390260337903,http://dx.doi.org/10.1163/15685390260337903,2002,"Liker, A; Barta, Z",Behaviour,The Effects Of Dominance On Social Foraging Tactic Use In House Sparrows,10.1163/15685390260337903
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1163/15685390260514708,http://dx.doi.org/10.1163/15685390260514708,2002,"Gonzaga, MD; Vasconcellos-Neto, J",Behaviour,Influence Of Collective Feeding On Weight Gain And Size Variability Of Anelosimus Jabaquara Levi 1956 (Araneae : Theridiidae),10.1163/15685390260514708
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/S0376-6357(01)00209-1,http://dx.doi.org/10.1016/S0376-6357(01)00209-1,2002,"Grasmuck, V; Desor, D",Behavioural Processes,Behavioural Differentiation Of Rats Confronted To A Complex Diving-For-Food Situation,10.1016/S0376-6357(01)00209-1
,y,,,,ravens,,,,sci-hub.st/http://dx.doi.org/10.1046/j.1439-0310.2002.00832.x,http://dx.doi.org/10.1046/j.1439-0310.2002.00832.x,2002,"Bugnyar, T; Kotrschal, K",Ethology,"Scrounging Tactics In Free-Ranging Ravens, Corvus Corax",10.1046/j.1439-0310.2002.00832.x
humans,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/S1090-5138(02)00101-0,http://dx.doi.org/10.1016/S1090-5138(02)00101-0,2002,"Kameda, T; Nakanishi, D",Evolution And Human Behavior,Cost-Benefit Analysis Of Social/Cultural Learning In A Nonstationary Uncertain Environment - An Evolutionary Simulation And An Experiment With Human Subjects,10.1016/S1090-5138(02)00101-0
strategy switching,,,,,northwestern crows,,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.2003.2182,http://dx.doi.org/10.1006/anbe.2003.2182,2003,"Ha, RR; Ha, JC",Animal Behaviour,"Effects Of Ecology And Prey Characteristics On The Use Of Alternative Social Foraging Tactics In Crows, Corvus Caurinus",10.1006/anbe.2003.2182
,,,,,nutmeg mannikins,,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.2003.2236,http://dx.doi.org/10.1006/anbe.2003.2236,2003,"Coolen, I; Giraldeau, LA",Animal Behaviour,"Incompatibility Between Antipredatory Vigilance And Scrounger Tactic In Nutmeg Mannikins, Lonchura Punctulata",10.1006/anbe.2003.2236
,,,,,,y,finder-joiner,,sci-hub.st/http://dx.doi.org/10.1093/beheco/14.1.2,http://dx.doi.org/10.1093/beheco/14.1.2,2003,"Dubois, F; Giraldeau, LA; Grant, JWA",Behavioral Ecology,Resource Defense In A Group-Foraging Context,10.1093/beheco/14.1.2
,,,,,western buffalo breams,,"IFD, klepto",,sci-hub.st/http://dx.doi.org/10.1890/02-0227,http://dx.doi.org/10.1890/02-0227,2003,"Hamilton, IM; Dill, LM",Ecology,Group Foraging By A Kleptoparasitic Fish: A Strong Inference Test Of Social Foraging Models,10.1890/02-0227
humans,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/S1090-5138(03)00015-1,http://dx.doi.org/10.1016/S1090-5138(03)00015-1,2003,"Kameda, T; Nakanishi, D",Evolution And Human Behavior,Does Social/Cultural Learning Increase Human Adaptability? Rogers'S Question Revisited,10.1016/S1090-5138(03)00015-1
not english,,,,,,,,,https://www.jstage.jst.go.jp/article/jjpsy1926/74/1/74_1_27/_pdf/-char/ja,,2003,"Nakanishi, D., Kameda, T., Shinada, M.",Shinrigaku Kenkyu,Social Learning As An Uncertainty-Reduction Strategy: An Adaptationist Approach,10.4992/jjpsy.74.27
,y,,,,tree sparrows,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2003.06.012,http://dx.doi.org/10.1016/j.anbehav.2003.06.012,2004,"Barta, Z; Liker, A; Monus, F",Animal Behaviour,The Effects Of Predation Risk On The Use Of Social Foraging Tactics,10.1016/j.anbehav.2003.06.012
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2004.2763,http://dx.doi.org/10.1098/rspb.2004.2763,2004,"Morrell, LJ; Kokko, H",Proceedings Of The Royal Society B-Biological Sciences,Can Too Strong Female Choice Deteriorate Male Ornamentation?,10.1098/rspb.2004.2763
,,,,,house sparrows,,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.2004.2887,http://dx.doi.org/10.1098/rspb.2004.2887,2004,"Lendvai, AZ; Barta, Z; Liker, A; Bokony, V",Proceedings Of The Royal Society B-Biological Sciences,The Effect Of Energy Reserves On Social Foraging: Hungry Sparrows Scrounge More,10.1098/rspb.2004.2887
,,,,,nutmeg mannikins,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/arh127,http://dx.doi.org/10.1093/beheco/arh127,2005,"Wu, GM; Giraldeau, LA",Behavioral Ecology,Risky Decisions: A Test Of Risk Sensitivity In Socially Foraging Flocks Of Lonchura Punctulata,10.1093/beheco/arh127
,,,,,,y,information sharing,,https://sci-hub.st/10.1093/beheco/ari063,,2005,"Ruxton, Graeme D. (g.ruxton@bio.gla.ac.uk) ; Fraser, Chris; Broom, Mark",Behavioral Ecology,An Evolutionarily Stable Joining Policy For Group Foragers,10.1093/beheco/ari063
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.beproc.2005.04.003,http://dx.doi.org/10.1016/j.beproc.2005.04.003,2005,"Stenberg, M; Persson, A",Behavioural Processes,The Effects Of Spatial Food Distribution And Group Size On Foraging Behaviour In A Benthic Fish,10.1016/j.beproc.2005.04.003
,y,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1890/04-0566,http://dx.doi.org/10.1890/04-0566,2005,"Dubois, FD; Giraldeau, LA",Ecology,Fighting For Resources: The Economics Of Defense And Appropriation,10.1890/04-0566
,,,,,,y,finder-joiner,,sci-hub.st/http://dx.doi.org/10.1007/s10764-005-8855-9,http://dx.doi.org/10.1007/s10764-005-8855-9,2005,"Bicca-Marques, JC; Garber, PA",International Journal Of Primatology,Use Of Social And Ecological Information In Tamarin Foraging Decisions,10.1007/s10764-005-8855-9
,,,,,,n,,,,,2005,"Biggers, J.R.",Journal Of Forensic Psychology Practice,The Utility Of Diagnostic Language As Expert Witness Testimony: Should Syndrome Terminology Be Used In Battering Cases?,10.1300/J158v05n01_03
scrounging a cryptic prey,,,,,nutmeg mannikins,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2005.10.008,http://dx.doi.org/10.1016/j.anbehav.2005.10.008,2006,"Barrette, M; Giraldeau, LA",Animal Behaviour,Prey Crypticity Reduces The Proportion Of Group Members Searching For Food,10.1016/j.anbehav.2005.10.008
,,,,,,y,finder-joiner,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2005.10.032,http://dx.doi.org/10.1016/j.anbehav.2005.10.032,2006,"Lendvai, AZ; Liker, A; Barta, Z",Animal Behaviour,The Effects Of Energy Reserves And Dominance On The Use Of Social-Foraging Strategies In The House Sparrow,10.1016/j.anbehav.2005.10.032
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1007/s10071-006-0018-7,http://dx.doi.org/10.1007/s10071-006-0018-7,2006,"Gajdon, GK; Fijn, N; Huber, L",Animal Cognition,"Limited Spread Of Innovation In A Wild Parrot, The Kea (Nestor Notabilis)",10.1007/s10071-006-0018-7
,,,,,zebra finches,,,,sci-hub.st/http://dx.doi.org/10.1111/j.1439-0310.2006.01241.x,http://dx.doi.org/10.1111/j.1439-0310.2006.01241.x,2006,"Beauchamp, G",Ethology,Phenotypic Correlates Of Scrounging Behavior In Zebra Finches: Role Of Foraging Efficiency And Dominance,10.1111/j.1439-0310.2006.01241.x
,,,,,,n,,,,,2006,"He, S., Wu, Q.H., Saunders, J.R.",Lecture Notes In Computer Science (Including Subseries Lecture Notes In Artificial Intelligence And Lecture Notes In Bioinformatics),A Group Search Optimizer For Neural Network Training,10.1007/11751595_98
individual differences in tactics,,,,,Carib grackles,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/arm058,http://dx.doi.org/10.1093/beheco/arm058,2007,"Morand-Ferron, J; Giraldeau, LA; Lefebvre, L",Behavioral Ecology,Wild Carib Grackles Play A Producer-Scrounger Game,10.1093/beheco/arm058
different patches,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1007/s00265-007-0461-8,http://dx.doi.org/10.1007/s00265-007-0461-8,2007,"Dubois, F; Giraldeau, LA",Behavioral Ecology And Sociobiology,Food Sharing Among Retaliators: Sequential Arrivals And Information Asymmetries,10.1007/s00265-007-0461-8
,,,,,Mexican jays,,,,sci-hub.st/http://dx.doi.org/10.1163/156853907781492717,http://dx.doi.org/10.1163/156853907781492717,2007,"McCormack, JE; Jablonski, PG; Brown, JL",Behaviour,Producer-Scrounger Roles And Joining Based On Dominance In A Free-Living Group Of Mexican Jays (Aphelocoma Ultramarina),10.1163/156853907781492717
,,,,,,n,,,,,2007,"Hawkins, T., Hendrickson, C., Higgins, C., Matthews, H.S., Suh, S.",Environmental Science And Technology,A Mixed-Unit Input-Output Model For Environmental Life-Cycle Assessment And Material Flow Analysis,10.1021/es060871u
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1111/j.1439-0310.2007.01384.x,http://dx.doi.org/10.1111/j.1439-0310.2007.01384.x,2007,"Souza, ALT; Gonzaga, MO; Vasconcellos-Neto, J",Ethology,Prey Capture Behaviour In The Social Spider Anelosimus Eximius (Araneae : Theridiidae): Responses To Prey Size And Type,10.1111/j.1439-0310.2007.01384.x
humans,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.jesp.2006.02.003,http://dx.doi.org/10.1016/j.jesp.2006.02.003,2007,"Kameda, T; Tamura, R",Journal Of Experimental Social Psychology,"""To Eat Or Not To Be Eaten?"" Collective Risk-Monitoring In Groups",10.1016/j.jesp.2006.02.003
,,,,,,,,y,sci-hub.st/http://dx.doi.org/10.1086/511657,http://dx.doi.org/10.1086/511657,2007,"Hirsch, BT",Quarterly Review Of Biology,Costs And Benefits Of Within-Group Spatial Position: A Feeding Competition Model,10.1086/511657
learning,,,,,house sparrows,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2007.09.020,http://dx.doi.org/10.1016/j.anbehav.2007.09.020,2008,"Katsnelson, E; Motro, U; Feldman, MW; Lotem, A",Animal Behaviour,Early Experience Affects Producer-Scrounger Foraging Tendencies In The House Sparrow,10.1016/j.anbehav.2007.09.020
spatial model,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1016/j.anbehav.2008.08.017,http://dx.doi.org/10.1016/j.anbehav.2008.08.017,2008,"Beauchamp, G",Animal Behaviour,A Spatial Model Of Producing And Scrounging,10.1016/j.anbehav.2008.08.017
,y,,,,zebra finches,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/arm114,http://dx.doi.org/10.1093/beheco/arm114,2008,"Mathot, KJ; Giraldeau, LA",Behavioral Ecology,Increasing Vulnerability To Predation Increases Preference For The Scrounger Foraging Tactic,10.1093/beheco/arm114
spatial position in group,,,,,tree sparrows,,,,sci-hub.st/http://dx.doi.org/10.1111/j.1439-0310.2007.01472.x,http://dx.doi.org/10.1111/j.1439-0310.2007.01472.x,2008,"Monus, F; Barta, Z",Ethology,The Effect Of Within-Flock Spatial Position On The Use Of Social Foraging Tactics In Free-Living Tree Sparrows,10.1111/j.1439-0310.2007.01472.x
humans,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/j.evolhumbehav.2008.04.005,http://dx.doi.org/10.1016/j.evolhumbehav.2008.04.005,2008,"Mesoudi, A",Evolution And Human Behavior,"An Experimental Simulation Of The ""Copy-Successful-Individuals"" Cultural Learning Strategy: Adaptive Landscapes, Producer-Scrounger Dynamics, And Informational Access Costs",10.1016/j.evolhumbehav.2008.04.005
