PT	AN	PM	DT	LT	TI	FT	AU	CA	BA	BE	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	UT
J	BACD199800225538		Article		The effect of dominance hierarchy on the use of alternative foraging tactics: A phenotype-limited producing-scrounging game		Barta, Zoltan; Giraldeau, Luc-Alain				Behavioral Ecology and Sociobiology		1998	March, 1998	42	3	217-223	217	223	English	print					2	45	Group living is thought to be advantageous for animals, though it also creates opportunities for exploitation. Using food discovered by others can be described as a producer-scrounger, frequency-dependent game. In the game, scroungers (parasitic individuals) do better than producers (food finders) when scroungers are rare in the group, but they do worse when scroungers are common. When the individuals' payoffs do not depend on their phenotype (i.e. a symmetric game), this strong negative frequency dependence leads to a mixed stable solution where both alternatives obtain equal payoffs. Here, we address the question of how differences in social status in a dominance hierarchy influence the individuals' decision to play producer or scrounger in small foraging groups. We model explicitly the food intake rate of each individual in a dominance-structured foraging group, then calculate the Nash equilibrium for them. Our model predicts that only strong differences in competitive ability will influence the use of producing or scrounging tactics in small foraging groups; dominants will mainly play scrounger and subordinates will mostly use producer. Since the differences in competitive ability of different-ranking individuals likely depend on the economic defendability of food, our model provides a step towards the integration of social foraging and resource defence theories.	Barta, Zoltan; Behavioural Ecol. Res. Group, Dep. Evol. Zool., Kossuth Univ., H-4010 Debrecen, Hungary			Barta, Zoltan/0000-0002-7121-9865			Environmental Sciences & Ecology	0340-5443		10.1007/s002650050433		Ecology (Environmental Sciences)	07502, Ecology: environmental biology - General and methods; 07003, Behavioral biology - Animal behavior										dominance hierarchy; foraging tactics; game theory; producer/scrounger relationships				2023-03-15	BIOABS:BACD199800225538
J	BACD201200140487	21937494	Article		Evolution of learned strategy choice in a frequency-dependent game		Katsnelson, Edith (edith.katsnelson@gmail.com) ; Motro, Uzi; Feldman, Marcus W.; Lotem, Arnon				Proceedings of the Royal Society Biological Sciences Series B		2012	MAR 22 2012	279	1731	1176-1184	1176	1184	English						0	38	In frequency-dependent games, strategy choice may be innate or learned. While experimental evidence in the producer-scrounger game suggests that learned strategy choice may be common, a recent theoretical analysis demonstrated that learning by only some individuals prevents learning from evolving in others. Here, however, we model learning explicitly, and demonstrate that learning can easily evolve in the whole population. We used an agent-based evolutionary simulation of the producer-scrounger game to test the success of two general learning rules for strategy choice. We found that learning was eventually acquired by all individuals under a sufficient degree of environmental fluctuation, and when players were phenotypically asymmetric. In the absence of sufficient environmental change or phenotypic asymmetries, the correct target for learning seems to be confounded by game dynamics, and innate strategy choice is likely to be fixed in the population. The results demonstrate that under biologically plausible conditions, learning can easily evolve in the whole population and that phenotypic asymmetry is important for the evolution of learned strategy choice, especially in a stable or mildly changing environment.	Katsnelson, Edith; Tel Aviv Univ, Dept Zool, IL-69978 Tel Aviv, Israel		Motro, Uzi/AAL-8426-2021				Behavioral Sciences; Mathematical & Computational Biology	0962-8452	1471-2954	10.1098/rspb.2011.1734		Behavior; Models and Simulations (Computational Biology)	04500, Mathematical biology and statistical methods; 07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 10515, Biophysics - Biocybernetics	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird]							agent-based evolutionary simulation; mathematical and computer techniques		environmental change; environmental fluctuation; phenotypic asymmetry; learned strategy choice evolution; frequency-dependent game; general learning rule; biologically plausible condition; producer-scrounger behavior	Green Published			2023-03-15	BIOABS:BACD201200140487
J	BACD202200014290	34091901	Article		Cognition and covariance in the producer-scrounger game		Reichert, Michael S. (michael.reichert@okstate.edu) ; Morand-Ferron, Julie; Kulahci, Ipek G.; Firth, Josh A.; Davidson, Gabrielle L.; Crofts, Sam J.; Quinn, John L.				Journal of Animal Ecology		2021	NOV 2021	90	11				English						5	12	The producer-scrounger game is a key element of foraging ecology in many systems. Producing and scrounging typically covary negatively, but partitioning this covariance into contributions of individual plasticity and consistent between individual differences is key to understanding population-level consequences of foraging strategies. Furthermore, little is known about the role cognition plays in the producer-scrounger game. We investigated the role of cognition in these alternative foraging tactics in wild mixed-species flocks of great tits and blue tits, using a production learning task in which we measured individuals' speed of learning to visit the single feeder in an array that would provide them with a food reward. We also quantified the proportion of individuals' feeds that were scrounges ('proportion scrounged'); scrounging was possible if individuals visited immediately after a previous rewarded visitor. Three learning experiments-initial and two reversal learning-enabled us to estimate the repeatability and covariance of each foraging behaviour. First, we examined whether individuals learned to improve their scrounging success (i.e. whether they obtained food by scrounging when there was an opportunity to do so). Second, we quantified the repeatability of proportion scrounged, and asked whether proportion scrounged affected production learning speed among individuals. Third, we used multivariate analyses to partition within- and among-individual components of covariance between proportion scrounged and production learning speed. Individuals improved their scrounging success over time. Birds with a greater proportion scrounged took longer to learn their own rewarding feeder. Although multivariate analyses showed that covariance between proportion scrounged and learning speed was driven primarily by within-individual variation, that is, by behavioural plasticity, among-individual differences also played a role for blue tits. This is the first demonstration of a cognitive trait influencing producing and scrounging in the same wild system, highlighting the importance of cognition in the use of alternative resource acquisition tactics. The results of our covariance analyses suggest the potential for genetic differences in allocation to alternative foraging tactics, which are likely species- and system-dependent. They also point to the need to control for different foraging tactics when studying individual cognition in the wild.	Reichert, Michael S.; Univ Coll Cork, Sch Biol Earth and Environm Sci, Cork, Ireland		Morand-Ferron, Julie/AAW-7022-2021; Kulahci, Ipek/A-7105-2009; Davidson, Gabrielle/HOH-3263-2023; Reichert, Michael/; Firth, Josh/; Davidson, Gabrielle/	Morand-Ferron, Julie/0000-0001-5186-7710; Kulahci, Ipek/0000-0003-0104-0365; Reichert, Michael/0000-0002-0159-4387; Firth, Josh/0000-0001-7183-4115; Davidson, Gabrielle/0000-0001-5663-2662			Behavioral Sciences; Agriculture	0021-8790	1365-2656	10.1111/1365-2656.13551		Behavior; Animal Husbandry (Agriculture)	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 26502, Animal production - General and methods; 27002, Poultry production - General and methods	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [blue tit] [great tit]							genetic analysis; laboratory techniques, genetic techniques/learning task; laboratory techniques/cognition test; laboratory techniques		foraging behaviour; producer-scrounger game	Green Accepted, Green Submitted			2023-03-15	BIOABS:BACD202200014290
J	BACD200800466035		Article		Variation in search and predatory attack strategies of shark mackerel Grammatorcynus bicarinatus		Auster, Peter J. (peter.auster@uconn.edu)				Journal of the Marine Biological Association of the United Kingdom		2008	JUN 2008	88	4	847-849	847	849	English						0	5	I observed shark mackerel demonstrating multiple search and attack strategies. Strategies were categorized as three distinct types: (i) a linear search by single orgroups offish along reeffeatures; (2) ambushfi-om a stationary position on the seafloor; and (3) ambush from resting schools of co-occurring predators. Together these strategies were consistent with both information-sharing and producer- scrounger models of group foraging and indicate significant flexibility in individual fish foraging behaviour based on proximate conditions.	Auster, Peter J.; Univ Connecticut, Natl Undersea Res Ctr, Groton, CT 06340 USA		Auster, Peter/ABI-3568-2020				Behavioral Sciences; Mathematical & Computational Biology; Environmental Sciences & Ecology; Marine & Freshwater Biology	0025-3154	1469-7769	10.1017/S0025315408001537		Behavior; Models and Simulations (Computational Biology); Marine Ecology (Ecology, Environmental Sciences)	04500, Mathematical biology and statistical methods; 07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 07508, Ecology: environmental biology - Animal; 07512, Ecology: environmental biology - Oceanography; 10515, Biophysics - Biocybernetics	Pisces, Vertebrata, Chordata, Animalia; Animals, Chordates, Fish, Nonhuman Vertebrates, Vertebrates; Osteichthyes [85206]; [Grammatorcynus bicarinatus; shark mackerel]							producer-scrounger model; mathematical and computer techniques/information-sharing model; mathematical and computer techniques		camouflage; predatory attack strategy; search variation				2023-03-15	BIOABS:BACD200800466035
J	BACD200100101644		Article	Literature Review	Breeding colonies as information centers: A reappraisal of information-based hypotheses using the producer-scrounger game		Barta, Zoltan; Giraldeau, Luc-Alain				Behavioral Ecology		2001	Mar.-Apr., 2001	12	2	121-127	121	127	English	print					0	28	One of the most cited hypotheses for the evolutionary advantages of colonial breeding proposes that colonies serve as a place of information exchange about the location of food-the information center hypothesis. Despite its popularity, the hypothesis generated considerable controversy over its predictions and role in the evolution of colonial breeding. As a consequence, the hypothesis still lingers on, despite numerous apparent falsifications from both observational and experimental approaches. The controversy has three roots: the unclear causal direction between coloniality and information center, the unrecognized distinction between colonial breeding and colonial roosting, and the use of an implicit group selectionist argument. Here we try to clarify this controversy by applying an entirely individual selection-based approach, the producer-scrounger game, to the information center hypothesis. Furthermore, we show how other information-based alternatives of the original information center hypothesis (e.g., local enhancement and recruitment center hypotheses) can be included in a common framework. Our model predicts that individuals relying on information transfer at the colony should be rather common in nature. This prediction is essentially unaltered by the inclusion of either local enhancement or recruitment center. On the other hand, the frequency of leading unknowledgeable individuals (the most accepted sign of information center) is expected to be very low. The model indicates that tests of information-based hypotheses should focus on the expected relative frequency of food-searching flights rather than the frequency of leading.	Barta, Zoltan; Centre for Behavioural Biology, School of Mathematics, University of Bristol, Bristol, UK	z.barta@bristol.ac.uk		Barta, Zoltan/0000-0002-7121-9865			Environmental Sciences & Ecology; Evolutionary Biology	1045-2249		10.1093/beheco/12.2.121		Ecology (Environmental Sciences); Evolution and Adaptation	01500, Evolution; 07502, Ecology: environmental biology - General and methods										breeding colonies; evolutionary advantages; information center hypothesis; information centers; information reappraisal; information-based hypothesis; local enhancement; producer-scrounger game; recruitment centers				2023-03-15	BIOABS:BACD200100101644
J	BACD200900416018		Article		Group Search Optimizer: An Optimization Algorithm Inspired by Animal Searching Behavior		He, S. (heshan@ieee.org) ; Wu, Q. H. (q.h.wu@liv.ac.uk) ; Saunders, J. R. (jrs@liv.ac.uk)				IEEE Transactions on Evolutionary Computation		2009	OCT 2009	13	5	973-990	973	990	English						4	114	Nature-inspired optimization algorithms, notably evolutionary algorithms (EAs), have been widely used to solve various scientific and engineering problems because of to their simplicity and flexibility. Here we report a novel optimization algorithm, group search optimizer (GSO), which is inspired by animal behavior, especially animal searching behavior. The framework is mainly based on the producer-scrounger model, which assumes that group members search either for "finding" (producer) or for "joining" (scrounger) opportunities. Based on this framework, concepts from animal searching behavior, e. g., animal scanning mechanisms, are employed metaphorically to design optimum searching strategies for solving continuous optimization problems. When tested against benchmark functions, in low and high dimensions, the GSO algorithm has competitive performance to other EAs in terms of accuracy and convergence speed, especially on high-dimensional multimodal problems. The GSO algorithm is also applied to train artificial neural networks. The promising results on three real-world benchmark problems show the applicability of GSO for problem solving.	He, S.; Univ Liverpool, Dept Elect Engn and Elect, Liverpool L69 3GJ, Merseyside, UK		Saunders, Jonathan R/B-5884-2011				Behavioral Sciences; Mathematical & Computational Biology	1089-778X	1941-0026	10.1109/TEVC.2009.2011992		Behavior; Mathematical Biology (Computational Biology)	04500, Mathematical biology and statistical methods; 07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior	Animalia; Animals; Animalia [33000]; [animal]							artificial neural network; mathematical and computer techniques/producer-scrounger model; mathematical and computer techniques/group search optimizer algorithm; mathematical and computer techniques		evolutionary algorithm; searching behavior; scanning mechanism; engineering problem solving; scientific problem solving; nature-inspired optimization algorithm				2023-03-15	BIOABS:BACD200900416018
J	BACD201400574248		Article		A unified modelling approach for producer-scrounger games in complex ecological conditions		Afshar, Mohammad (afshar.mohammad@courrier.uqam.ca) ; Giraldeau, Luc-Alain (giraldeau.luc-alain@uqam.ca)				Animal Behaviour		2014	OCT 2014	96		167-176	167	176	English						1	57	Animal decision making in frequency-dependent situations, where the payoff of an action depends on the actions of others, has gained prominence in behavioural ecology and in social foraging in particular. One such situation involves cases where an animal can search for a new resource (produce) or join what others have already found (scrounge). A number of game-theoretic models have been proposed to predict the equilibrium combination of producer and scrounger strategists based on the evolutionarily stable strategy. However, each game model can only handle a few environmental parameters at a time and none address the flexible use of tactics that allows individuals to respond quickly and adaptively to changes in payoffs. In this study we propose an agent-based model using a linear operator learning rule as the decision mechanism. The model provides a unified framework from which to predict the effects on the expected equilibrium of producers and scroungers of group size, metabolic requirement, finder's advantage, food intake rate, cost of searching, cost of joining, patch encounter probability and patch richness. The simulation results replicate almost every producer-scrounger prediction and experimental result published to date such that the simulation provides a more general tool than any single game-theoretic model to predict behaviour under frequency-dependent conditions. The model furthermore allows us to develop a novel prediction about foraging behaviour in a more realistic environment of variable patch richness. By modelling the operation of a plausible decision rule, we can explore the validity of the behavioural gambit, the assumption that the unspecified decision mechanisms of game-theoretic models faithfully reproduce outcomes expected of natural selection operating over generations on fixed alternatives. We suggest that this simulation model can provide a tool for others to explore and predict the effect of more complex and hence realistic foraging conditions on individual levels of producer and scrounger use. (C) 2014 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.	Afshar, Mohammad; Univ Quebec, Dept Biol Sci, CP 8888,Succursale Ctr Ville, Montreal, PQ H3C 3P8, Canada						Behavioral Sciences; Mathematical & Computational Biology	0003-3472	1095-8282	10.1016/j.anbehav.2014.07.022		Behavior; Models and Simulations (Computational Biology)	04500, Mathematical biology and statistical methods; 07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 10515, Biophysics - Biocybernetics	Animalia; Animals; Animalia [33000]; [animal]							simulation model; mathematical and computer techniques/theoretic model; mathematical and computer techniques		foraging behavior; social foraging behavior; producer-scrounger games				2023-03-15	BIOABS:BACD201400574248
J	BACD199293072647		Article		SOCIAL FORAGING PRODUCING AND SCROUNGING IN A STOCHASTIC ENVIRONMENT		CARACO T; GIRALDEAU L-A				Journal of Theoretical Biology		1991		153	4	559-584	559	584	English						0	23	The producer-scrounger paradigm applies to an array of interactions influencing the economics of sociality; we apply the concept to group foraging. Producers generate opportunities to exploit resources; scroungers attempt to sequester some of the resources producers discover. We develop two models of producing and scrounging in foraging groups of fixed, finite size. In the producer-priority model scrounging reduces a producer's expected food intake, but the reduction does not depend on the exact number of scroungers in the group. In the scramble-competition model a producer's expected food intake always decreases as the number of scroungers increases. Treating each model as an N-person game, we find stable numbers of producers and scroungers for different group sizes, food densities, physiologically required food-intake levels, costs of scrounging, and competitive abilities of producers. Solutions to our models assume that strategic efficiency reduces the individual's probability of starving. Stochastic variation in our models arises because the amount of food discovered varies randomly, and because the allocation of food items among foragers within a clump may also vary randomly. Previous producer-scrounger models are deterministic; so our stochastic models make a series of new predictions. We also discuss the importance of phenotypic plasticity in modeling complex organisms' social behavior, and examine possible co-operative restraints on scrounging.	CARACO T; BIOLOGICAL SCIENCES, STATE UNIV NEW YORK, ALBANY, NEW YORK 12222, USA			Caraco, Thomas/0000-0002-8538-6007			Behavioral Sciences; Environmental Sciences & Ecology; Mathematical & Computational Biology	0022-5193		10.1016/S0022-5193(05)80156-0		Behavior; Ecology (Environmental Sciences); Mathematical Biology (Computational Biology)	04500, Mathematical biology and statistical methods; 07003, Behavioral biology - Animal behavior; 07508, Ecology: environmental biology - Animal	Animalia; Animals; Animalia [33000]													2023-03-15	BIOABS:BACD199293072647
J	BACD199497311210		Article		A test for the producer-scrounger foraging game in captive flocks of spice finches, Lonchura punctulata		Giraldeau, Luc-Alain; Soos, Catherine; Beauchamp, Guy				Behavioral Ecology and Sociobiology		1994		34	4	251-256	251	256	English						0	22	Group foraging allows the co-existence of a strategy (producer) that involves searching for food, and its alternative (scrounger) exploiting the food of the producer. The use of producer and scrounger strategies has been modelled as an alternative-option scramble which assumes strong negative frequency-dependence of the scrounger's pay-offs. We tested this assumption in a flock feeding situation by manipulating the proportion of scroungers in flocks of spice finches, Lonchura punctulata. In a first experiment we found that: (1) the food intake of scroungers, and to a lesser extent producers, was negatively affected by an increase in the proportion of scroungers; (2) the food intake of producers and scroungers was equal when the proportion of scroungers was small, suggesting that producers, who exploited 35.4% of their patches by scrounging were opportunistically adjusting their use of the strategies until the pay-offs equalized. In a second experiment we tested whether finches could vary their use of the two strategies in response to changes in foraging conditions brought about by an increase in the cost of producing. As predicted by the game, finches reduced their use of the producer strategy and increased their use of the scrounger strategy when the cost of producing increased. These results suggest that spice finches can alter their allocation to each foraging alternative by experience and that the producer-scrounger game is a realistic model for predicting group foraging decisions.	Giraldeau, Luc-Alain; Dep. Biol., Concordia Univ., 1455 ouest, B de Maisonneuve, Montreal, PQ H3G 1M8, Canada		Soos, Catherine/Q-4983-2019	Soos, Catherine/0000-0003-4610-3614			Behavioral Sciences; Environmental Sciences & Ecology	0340-5443		10.1007/s002650050040		Behavior; Ecology (Environmental Sciences)	07003, Behavioral biology - Animal behavior; 07508, Ecology: environmental biology - Animal	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Lonchura punctulata]									BEHAVIOR; FLOCKING; FORAGING DECISION; FREQUENCY DEPENDENCE				2023-03-15	BIOABS:BACD199497311210
J	BACD201100292381		Article		Personality affects zebra finch feeding success in a producer-scrounger game		David, Morgan (Morgan.David@u-bourgogne.fr) ; Cezilly, Frank; Giraldeau, Luc-Alain				Animal Behaviour		2011	JUL 2011	82	1	61-67	61	67	English						2	78	Recent evidence strongly suggests that natural selection can favour the evolution of consistent individual differences in behaviour ('personalities'). Indeed, personality shows heritable variation and has been linked to fitness in many species. However, the fitness effects of personality are highly variable within and between species. Furthermore, the nature of the causal influence of personality on an organism's fitness remains unclear so far. Competition has been proposed as a factor modulating this relationship. Thus, personality has been found to affect individual success in competition by interference in a few species, but its influence in scramble competition remains unexplored. We assessed exploratory tendencies (thought to be a key component of personality) in a model species, the zebra finch, Taeniopygia guttata. In a first session, we formed foraging flocks composed of four individuals with different exploration scores, and allowed them to play producer-scrounger games repeatedly. During a second session, individuals were reassigned to different flocks to check for consistency in the influence of exploratory tendency across different social contexts. Exploratory tendency influenced individual feeding success during the first session but not during the second one. High-exploratory birds were less successful at finding food (i.e. playing the producer tactic) and consequently had a lower feeding success, but were presumably able to adjust their behaviour between sessions. We discuss our results in relation to the interactive effects of both personality and experience, and highlight the role of competition processes on the evolution of personality. (C) 2011 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.	David, Morgan; Univ Bourgogne, Equipe Ecol Evolut, UMR Biogeosci 5561, CNRS, 6 Bld Gabriel, F-21000 Dijon, France		David, Morgan/G-8593-2011				Behavioral Sciences	0003-3472	1095-8282	10.1016/j.anbehav.2011.03.025		Behavior	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Taeniopygia guttata; zebra finch; (immature; female, male)]									natural selection; foraging behavior; heritable variation; scramble competition; feeding success; competition process; personality variation; producer-scrounger game				2023-03-15	BIOABS:BACD201100292381
J	BACD200200289455		Article		Increasing foraging group size increases scrounger use and reduces searching efficiency in nutmeg mannikins (Lonchura punctulata)		Coolen, Isabelle				Behavioral Ecology and Sociobiology		2002	August, 2002	52	3	232-238	232	238	English	print					1	17	Social foragers can benefit from others' success by joining and sharing their food discoveries. In a producer-scrounger (PS) system, foragers can either search for food themselves (play producer) or search for joining opportunities (play scrounger), but not both at the same time. Empirical evidence is accumulating to show that the joining decision of ground-feeding birds like nutmeg mannikins (Lonchura punctulata) can be modeled by a PS game. However some predictions remain to be tested. For instance, foragers are predicted to increase their use of the scrounger tactic as group size increases. Also, one consequence of the incompatibility between producer and scrounger tactics is that the per capita searching efficiency should decrease as the use of scrounger increases. I tested these predictions in an indoor aviary using four flocks of nutmeg mannikins. I manipulated the stable equilibrium frequency (SEF) of the scrounger tactic by varying group size and the finder's share. As predicted by PS games, birds increased their use of scrounger as group size increased. Also, the per capita interval between patch discoveries increased and the per capita finding rate decreased as conditions called for a higher SEF of scrounger. I discuss why the decreased searching efficiency observed likely follows from the incompatibility between producer and scrounger tactics rather than from artifacts of the conditions used or from any form of interference.	Coolen, Isabelle; Sub-Department of Animal Behaviour, University of Cambridge, Madingley, Cambridge, CB3 8AA, UK	icoolen@yakcommunication.com					Behavioral Sciences	0340-5443		10.1007/s00265-002-0500-4		Behavior	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Lonchura punctulata; nutmeg mannikin; (producer, scrounger)]									group size; scrounger tactic; searching efficiency; social foraging; stable equilibrium frequency				2023-03-15	BIOABS:BACD200200289455
J	BACD200600267173		Article		Prey crypticity reduces the proportion of group members searching for food		Barrette, Maryse (barrette.maryse@courrier.uqam.ca) ; Giraldeau, Luc-Alain				Animal Behaviour		2006	MAY 2006	71	Part 5	1183-1189	1183	1189	English						0	6	A number of group foragers are known to engage in a producer-scrounger (PS) foraging game in which only individuals in the producer strategy search for food; the scroungers wait for opportunities to join. Prey exploited by predators engaged in a PS game could gain by evolving predator evasion tactics that shift the PS equilibrium of their predators towards a larger number of nonsearching scroungers. Prey can achieve this by imposing foraging costs that are specific to predators engaged in the producer strategy. Ye tested whether prey crypsis, a trait that has evolved as a demonstrably efficient strategy against solitary predators, imposed a producer-specific cost to group foragers that shifts PS equilibria towards more scrounging. We exposed four flocks of six nutmeg mannikins, Lonchura punctulata, small granivorous passerines that have been documented to play PS foraging games, to clumps of white millet seeds placed against one of two backgrounds that made them either cryptic or conspicuous. In three of four flocks, foraging under crytic conditions required more time to find food, resulted in more detection errors, had no effect on vigilance but significantly increased the frequency of scroungers at equilibrium. Having socially foraging predators may provide prey with an extra incentive to evolve producer-specific costs such as cryptic coloration.	Barrette, Maryse; Agr and Agri Food Canada, 430 Gouin Blvd, St Jean, PQ J3B 3E6, Canada						Behavioral Sciences	0003-3472	1095-8282	10.1016/j.anbehav.2005.10.008		Behavior	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Lonchura punctulata; nutmeg mannikin]							producer-scrounger; mathematical and computer techniques		prey crypticity; producer-specific cost				2023-03-15	BIOABS:BACD200600267173
J	BACD200300281940		Article		Effects of ecology and prey characteristics on the use of alternative social foraging tactics in crows, Corvus caurinus.		Ha, Renee Robinette (robinet@u.washington.edu) ; Ha, James C.				Animal Behaviour		2003	August 2003	66	2	309-316	309	316	English	print					1	18	The producer-scrounger model assumes that producers are animals that search for food, and scroungers are animals that steal food found by producers. By following foraging decisions made by beach-foraging crows, we assessed individual variability in strategy use, variables influencing the finder's share (when defined as the probability of retaining a prey item in the presence of food theft behaviour) and the benefits and costs of producing and scrounging. Data were collected using focal and all-occurrences scan sampling. Results indicated that more individuals were likely to use both producing and scrounging tactics than to be 'pure' producers. No pure scroungers were documented. When producers obtained scroungeable items, scroungers attempted to steal the item 46% of the time. Forty-one per cent of attempted scrounges were successful. Thus, producers suffered a 19% loss rate of scroungeable items to scroungers, although producers had access to large numbers of small (nonscroungeable) items. Although there were significantly more scroungeable prey items available at lower tides, there was no significant relationship between prey density and scrounge attempts or actual thefts. No ecological factors (group size, temperature, time of day, season) or individual characteristics (age, sex) influenced the probability of retaining prey. Prey retention was determined only by characteristics of the prey items: larger prey items or those with longer handling times were most likely to be stolen.	Ha, Renee Robinette; Department of Psychology, University of Washington, Box 351525, Seattle, WA, 98195, USA						Behavioral Sciences; Environmental Sciences & Ecology	0003-3472		10.1006/anbe.2003.2182		Behavior; Terrestrial Ecology (Ecology, Environmental Sciences)	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Corvus caurinus; (crow)]							producer-scrounger model; mathematical and computer techniques		predation; prey density; scrounging; social foraging				2023-03-15	BIOABS:BACD200300281940
J	BACD201500518068	25465400	Article		The effect of fight cost structure on fighting behaviour		Broom, Mark (mark.broom@city.ac.uk) ; Johanis, Michal (johanis@karlin.mff.cuni.cz) ; Rychtar, Jan (rychtar@uncg.edu)				Journal of Mathematical Biology		2015	OCT 2015	71	4	979-996	979	996	English						1	8	A common feature of animal populations is the stealing by animals of resources such as food from other animals. This has previously been the subject of a range of modelling approaches, one of which is the so called "producer-scrounger" model. In this model a producer finds a resource that takes some time to be consumed, and some time later a (generally) conspecific scrounger discovers the producer with its resource and potentially attempts to steal it. In this paper we consider a variant of this scenario where each individual can choose to invest an amount of energy into this contest, and the level of investment of each individual determines the probability of it winning the contest, but also the additional cost it has to bear. We analyse the model for a specific set of cost functions and maximum investment levels and show how the evolutionarily stable behaviour depends upon them. In particular we see that for high levels of maximum investment, the producer keeps the resource without a fight for concave cost functions, but for convex functions the scrounger obtains the resource (albeit at some cost).	Rychtar, Jan; Univ N Carolina, Dept Math and Stat, Greensboro, NC 27412 USA		Johanis, Michal/C-3382-2017; Rychtar, Jan/; Broom, Mark/	Johanis, Michal/0000-0002-3265-2500; Rychtar, Jan/0000-0001-6600-2939; Broom, Mark/0000-0002-1698-5495			Behavioral Sciences; Mathematical & Computational Biology	0303-6812	1432-1416	10.1007/s00285-014-0848-x		Behavior; Models and Simulations (Computational Biology)	04500, Mathematical biology and statistical methods; 07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 10515, Biophysics - Biocybernetics	Animalia; Animals; Animalia [33000]; [animal]							producer-scrounger model; mathematical and computer techniques		food stealing; fighting behaviour; sequential game; fight cost structure; maximum investment level; lleptoparasitism	Green Accepted			2023-03-15	BIOABS:BACD201500518068
J	BACD200700348063		Article		Wild Carib grackles play a producer-scrounger game		Morand-Ferron, Julie (morand-ferron.julie@uqam.ca) ; Giraldeau, Luc-Alain; Lefebvre, Louis				Behavioral Ecology		2007	SEP-OCT 2007	18	5	916-921	916	921	English						0	22	Producer-scrounger (PS) game-theoretical foraging models make predictions about the decision of group-feeding animals either to look for food (produce) or for opportunities to exploit the discoveries of other foragers (scrounge). We report the most complete demonstration to date of the applicability of the PS foraging game in a free-living animal, the Carib grackle (Quiscalus lugubris) of Barbados. As assumed by PS games, the payoffs obtained by scroungers were negatively frequency dependent. Experimentally, increasing the cost of scrounging led to a decrease in the observed proportion of scroungers, whereas raising the cost of producing increased the proportion of scroungers. Observations of marked birds revealed that group-level changes could be brought about by individual flexibility in tactic use. Despite consistent individual differences in tactic use, most birds used both tactics and could alter their use of producing and scrounging when conditions changed. We found no difference in the payoffs obtained by producers and scroungers, suggesting a symmetrical game equilibrium. Our results call for testing the PS foraging game in a broader range of biological systems that include different types of scrounging behavior (e.g., scramble, stealthful, or aggressive scrounging) as well as the exploitation of different phases of food production (e.g., searching, handling).	Morand-Ferron, Julie; McGill Univ, Dept Biol, 1205 Doctor Penfield Ave, Montreal, PQ H3A 1B1, Canada		Morand-Ferron, Julie/AAW-7022-2021	Morand-Ferron, Julie/0000-0001-5186-7710			Behavioral Sciences	1045-2249	1465-7279	10.1093/beheco/arm058		Behavior	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Quiscalus lugubris; Carib grackle]									food production; producer; scrounge; tactic use; game equilibrium	Bronze			2023-03-15	BIOABS:BACD200700348063
